的	〔白勹丶 · unid〕
𦋭	〔冂乂乂 · mbbh〕
𦋮	〔冂乂乂心 · mbbh〕
𦋯	〔罒瓜瓜 · yyyg〕
𦋰	〔罒䒑 · yhbc〕
𦋱	〔冂乂馬丨 · mbng〕
𦋲	〔罒夕夕殳 · yllr〕
𦋳	〔罒罒一止 · yyfs〕
𦋴	〔罒勹火火 · yncc〕
𦋵	〔冂乂氵子 · mbkh〕
𦋶	〔罒囗一 · yrpf〕
𦋷	〔罒日了攵 · yorh〕
𦋸	〔罒日一乚 · yofa〕
𦋹	〔罒罒罒 · yyys〕
𦋺	〔罒火火刂 · yccp〕
𦋻	〔冂乂乂馬 · mbbn〕
𦋼	〔冂乂乂匕 · mbbv〕
𦋽	〔罒糹且 · yifq〕
𦋾	〔罒虍且 · yzfq〕
𦋿	〔罒一曲曰 · yfyo〕
𦌀	〔罒厶厶彡 · ykke〕
𦌁	〔罒女 · ykob〕
𦌂	〔罒田一 · yqfu〕
𦌃	〔罒囗十 · yrpn〕
𦌄	〔冂乂厶⺝ · mbkv〕
𦌅	〔罒糹氏一 · yibf〕
𦌆	〔冂乂木 · mbpe〕
𦌇	〔罒彳人龰 · ywjs〕
𦌈	〔罒扌立女 · yuib〕
𦌉	〔罒束攵 · yxhp〕
𦌊	〔罒束欠 · yxeq〕
𦌋	〔罒土 · yvng〕
𦌌	〔冂人龷乚 · mjla〕
𦌍	〔冂人尸寸 · mjck〕
𦌎	〔冂人田 · mjqu〕
𦌏	〔冂乂乂鹿 · mbbx〕
𦌐	〔冂乂乂隹 · mbbu〕
𦌑	〔冂乂乂女 · mbbb〕
𦌒	〔罒大丷小 · ymhy〕
𦌓	〔冂乂火毛 · mbcv〕
𦌔	〔罒巳巳八 · yvvh〕
𦌕	〔罒⻊各 · ypsg〕
𦌖	〔罒䒑丿支 · yhtc〕
𦌗	〔罒火火欠 · ycce〕
𦌘	〔冂人丷曰 · mjho〕
𦌙	〔罒土攵 · yggh〕
𦌚	〔罒丷酉大 · yhym〕
𦌛	〔冖八丷曰 · whho〕
𦌜	〔冂乂乂里 · mbbd〕
𦌝	〔冂乂乂曰 · mbbo〕
𦌞	〔冂乂乂刂 · mbbp〕
𦌟	〔罒示彑氺 · yfbk〕
𦌠	〔罒尸口辛 · ycdn〕
𦌡	〔罒黾 · ydm〕
𦌢	〔罒糹丷𢎨 · yiht〕
𦌣	〔罒火火龴 · ycck〕
𦌤	〔冂人人攴 · mjjh〕
𦌥	〔罒魚刂 · ywpd〕
𦌦	〔罒小瓜 · ygyy〕
𦌧	〔罒氵火刂 · ykcp〕
𦌨	〔冂乂乂火 · mbbc〕
𦌩	〔罒大羊又 · ymgr〕
𦌪	〔罒糹火火 · yicc〕
𦌫	〔罒行金 · ypzj〕
𦌬	〔罒𠂉卌㐄 · yelv〕
𦌭	〔罒馬口丨 · yndg〕
𦌮	〔罒目目木 · yqqe〕
𦌯	〔冂人口馬 · mjdn〕
𦌰	〔罒糹大可 · yimz〕
𦌱	〔冂乂乂丨 · mbbg〕
𦌲	〔冂乂乂灬 · mbbc〕
𦌳	〔冂乂乂㐄 · mbbv〕
𦌴	〔冂乂乂隹 · mbbu〕
𦌵	〔罒田田田 · yqqq〕
𦌶	〔罒糹白水 · yiuk〕
𦌷	〔罒士罒貝 · ygyo〕
𦌸	〔罒魚欠 · yweq〕
𦌹	〔罒馬口 · yndp〕
𦌺	〔丿口 · btdt〕
𦌻	〔罒巳巳辶 · yvvu〕
𦌼	〔冂乂龍 · mbtl〕
𦌽	〔罒人人言 · yjjs〕
𦌾	〔罒糹罒 · yiyt〕
𦌿	〔罒一鹿 · yfvx〕
𦍀	〔罒廿口隹 · yldu〕
𦍁	〔罒尸口糸 · ycdi〕
𦍂	〔罒⻊巳八 · ypvh〕
𦍃	〔冂乂乂 · mbbt〕
𦍄	〔罒日日厶 · yook〕
𦍅	〔冂乂⻊八 · mbph〕
𦍆	〔罒糹罒 · yiyt〕
𦍇	〔罒辰自方 · yfol〕
𦍈	〔罒革馬丨 · ytng〕
𦍉	〔罒糹隹可 · yiuz〕
𦍊	〔罒革馬丨 · ytng〕
𦍋	〔𦍋 · gy〕
𦍌	〔⺷ · gy〕
𦍍	〔𦍍 · gy〕
𦍎	〔羊八 · ghb〕
𦍏	〔⺶人 · gjr〕
𦍐	〔人羊 · jgy〕
𦍑	〔⺷儿丶 · gpid〕
𦍒	〔土羊 · ggy〕
𦍓	〔⺶丿七 · gtrq〕
𦍔	〔⺶也 · gey〕
𦍕	〔犭羊 · mgy〕
𦍖	〔羊刀 · gpd〕
𦍗	〔⺶予 · giv〕
𦍘	〔⺶二儿 · gmpe〕
𦍙	〔歹羊 · ggy〕
𦍚	〔卝土火 · lgch〕
𦍛	〔⺷丶 · giks〕
𦍜	〔⺶𠂔 · gtf〕
𦍝	〔⺶一幺 · gfiy〕
𦍞	〔⺶一彑 · gfbj〕
𦍟	〔⺸ヿ土 · gagt〕
𦍠	〔⺶厂力 · gxsl〕
𦍡	〔⺷文 · gvw〕
𦍢	〔文羊 · vgy〕
𦍣	〔⺶一 · gfsc〕
𦍤	〔⺶月 · gvy〕
𦍥	〔⺶𠂉也 · geey〕
𦍦	〔⺶屮凵 · gsmk〕
𦍧	〔匕羊 · svgy〕
𦍨	〔⺶勹亾 · gnfw〕
𦍩	〔⺶古 · gcg〕
𦍪	〔⺶人彡 · gjes〕
𦍫	〔⺶亠幺 · gziy〕
𦍬	〔古羊 · cgy〕
𦍭	〔⺶瓦 · grw〕
𦍮	〔卝土ヿ土 · lgag〕
𦍯	〔⺷女厶 · gbks〕
𦍰	〔⺷八廾 · ghlc〕
𦍱	〔⺶𠂇又丶 · gnri〕
𦍲	〔歺羊 · ggy〕
𦍳	〔⺶瓜 · gyg〕
𦍴	〔⺶小 · gxyx〕
𦍵	〔⺶句 · ggj〕
𦍶	〔⺷夂几 · ghoj〕
𦍷	〔⺶皮 · grp〕
𦍸	〔⺷𠂇寸 · gnkc〕
𦍹	〔夕夕羊 · llgy〕
𦍺	〔⺶宀子 · gwhi〕
𦍻	〔⺶冂一口 · gmfd〕
𦍼	〔⺶一日一 · gfof〕
𦍽	〔彐彐羊 · bbgy〕
𦍾	〔⺶自 · goi〕
𦍿	〔⺶勹一幺 · gnfi〕
𦎀	〔⺶口大 · gdmd〕
𦎁	〔⺶士口 · ggdk〕
𦎂	〔⺶而 · gle〕
𦎃	〔大羊九丶 · mgki〕
𦎄	〔⺶歹匕 · ggvb〕
𦎅	〔⺷厶厶人 · gkkj〕
𦎆	〔⺶寸 · gvkc〕
𦎇	〔⺶豕 · gjs〕
𦎈	〔⺶⺈用 · gxty〕
𦎉	〔⺶乚土土 · gagg〕
𦎊	〔⺶白八 · guhb〕
𦎋	〔⺶豸 · gmi〕
𦎌	〔⺶亽口 · gjad〕
𦎍	〔⺷言 · gsy〕
𦎎	〔⺶甫 · gnf〕
𦎏	〔⺶束 · gxs〕
𦎐	〔⺶里 · gdl〕
𦎑	〔⺶口口 · gddk〕
𦎒	〔身羊 · zgy〕
𦎓	〔⺶ · gboc〕
𦎔	〔⺶白儿 · gupe〕
𦎕	〔⺷艹女 · glbn〕
𦎖	〔羊束 · gxs〕
𦎗	〔⺶戈戈 · gppg〕
𦎘	〔⺶戈口㇀ · gpdf〕
𦎙	〔羊口口人 · gddj〕
𦎚	〔入⺶九手 · jgku〕
𦎛	〔⺷女㇆口 · gbad〕
𦎜	〔⺶豕丶 · gjid〕
𦎝	〔目大羊 · qmgy〕
𦎞	〔⺶爫子乚 · gyha〕
𦎟	〔⺷灬火 · gcch〕
𦎠	〔⺶尸古 · gccg〕
𦎡	〔⺷大生 · gmls〕
𦎢	〔⺶一ㄅ一 · gfaf〕
𦎣	〔⺶西土 · gvgt〕
𦎤	〔⺶予丿木 · gite〕
𦎥	〔⺶匕白 · gvvu〕
𦎦	〔予丿攵羊 · ithg〕
𦎧	〔日⺸ · gogy〕
𦎨	〔目羊 · cqgy〕
𦎩	〔⺶宀工口 · gwud〕
𦎪	〔⺶日一 · gofe〕
𦎫	〔日羊 · gogy〕
𦎬	〔⺶日生 · gols〕
𦎭	〔⺶𠂉日夊 · geoh〕
𦎮	〔⺶二又 · gcmr〕
𦎯	〔士冖一殳 · gwfr gwfg〕
𦎰	〔⺶ · gfg〕
𦎱	〔⺶宀丰口 · gwad〕
𦎲	〔⺶⺜羽 · gozv〕
𦎳	〔⺶大貝 · gmob〕
𦎴	〔⺶⺷灬 · ggch〕
𦎵	〔⺶厶⺝匕 · gkvv〕
𦎶	〔⺷矢匕 · goav〕
𦎷	〔土九羊 · ggkg〕
𦎸	〔⺶龶貝 · gaob〕
𦎹	〔⺶女 · gkob〕
𦎺	〔⺶⺿一工 · glfu〕
𦎻	〔⺶⺿宀儿 · glwp〕
𦎼	〔士冖几羊 · gwog〕
𦎽	〔⺶艹見 · glej〕
𦎾	〔⺶尸氺㐄 · gckv〕
𦎿	〔⺷大月月 · gmvv〕
𦏀	〔⺶不見 · gcej〕
𦏁	〔⺷禾乃戈 · gxvp〕
𦏂	〔⺶⺈⺼口 · gxvd〕
𦏃	〔予丿攵羊 · ithg〕
𦏄	〔⺷大扌一 · gmuf〕
𦏅	〔⺶厂䒑欠 · gxhe〕
𦏆	〔⺶立里 · gidl〕
𦏇	〔羊丶㇏ · gxii〕
𦏈	〔⺶厂禾禾 · gxxx〕
𦏉	〔⺶黑 · gph〕
𦏊	〔⺶卝見丶 · glei〕
𦏋	〔⺶夫夫曰 · ghho〕
𦏌	〔⺶而而 · glle〕
𦏍	〔⺶弓丿土 · gbtg〕
𦏎	〔亠十羊口 · zngd〕
𦏏	〔⺶䒑业日 · ghco〕
𦏐	〔亼口羊羊 · jdgg〕
𦏑	〔⺶幺幺丶 · giii〕
𦏒	〔⺷大艹田 · gmlq〕
𦏓	〔丿口一 · btdf〕
𦏔	〔⺶壴口 · ghdk〕
𦏕	〔⺶罒勹虫 · gync〕
𦏖	〔⺶罒一 · gyft〕
𦏗	〔乂乂灬 · pbbc〕
𦏘	〔⺶⺈用牛 · gxtq〕
𦏙	〔⺸木冂貝 · gemo〕
𦏚	〔⺸弓丿土 · gbtg〕
𦏛	〔⺶口口木 · gdde〕
𦏜	〔一ㄅ羊 · pfag〕
𦏝	〔亠⺶羊 · zvgg〕
𦏞	〔亡口月⺀ · fdvw〕
𦏟	〔⺷士乛寸 · ggak〕
𦏠	〔⺷灬⺷火 · gcgc〕
𦏡	〔⺷丿扌ㄅ · gtua〕
𦏢	〔⺶士罒貝 · ggyo〕
𦏣	〔⺶⺮戊口 · grnd〕
𦏤	〔⺶可可可 · gzzz〕
𦏥	〔⺶而口大 · gldm〕
𦏦	〔⺶山乛攵 · gvah〕
𦏧	〔日羊 · gogs〕
𦏨	〔⺶衣罒水 · gtyk〕
𦏩	〔⺶厂禾日 · gxxo〕
𦏪	〔⺶口口 · gtdd〕
𦏫	〔⺶亠囗毛 · gzrv〕
𦏬	〔羊言言灬 · gssc〕
𦏭	〔⺶亠囗羊 · gzrg〕
𦏮	〔羊亼口隹 · gjdu〕
𦏯	〔羊言言言 · gsss〕
𦏰	〔⺶口人 · gtdj〕
𦏱	〔⺶乚厶厶 · gakk〕
𦏲	〔𦏲 · zv〕
𦏳	〔羽乚 · zae〕
𦏵	〔羽弋 · zpi〕
𦏶	〔羽亾 · zfw〕
𦏷	〔大羽 · mzv〕
𦏸	〔羽也 · zey〕
𦏹	〔羽干 · zeg〕
𦏺	〔工羽 · uzv〕
𦏻	〔羽二ㄅ · zmae〕
𦏼	〔工羽 · uzv〕
𦏽	〔羽寸 · zkc〕
𦏾	〔亼羽 · jzv〕
𦏿	〔山羽 · vzv〕
𦐀	〔羽亡 · zfw〕
𦐁	〔也羽 · ezv〕
𦐂	〔羽戈 · zpg〕
𦐃	〔㇆羽 · auzv〕
𦐄	〔亠几羽 · zozv〕
𦐅	〔羽及 · zcj〕
𦐆	〔羽巴 · zmb〕
𦐇	〔⺜羽 · ozv〕
𦐈	〔八刀羽 · hpzv〕
𦐉	〔屮一羽 · sfzv〕
𦐊	〔羽氏 · zbs〕
𦐋	〔人羽 · njzv〕
𦐌	〔羽𠂇厶 · znks〕
𦐍	〔羽人 · znjr〕
𦐎	〔冂二羽 · mmzv〕
𦐏	〔羽及 · zcj〕
𦐐	〔羽文 · zvw〕
𦐑	〔文羽 · vzv〕
𦐒	〔羽丿廾 · ztlc〕
𦐓	〔羽𠂇又 · znry〕
𦐔	〔羽木 · zem〕
𦐕	〔羽廿㇗ · zlae〕
𦐖	〔羽口八 · zdhb〕
𦐗	〔羽𠂇又丶 · znri〕
𦐘	〔羽冂土 · zmgt〕
𦐙	〔羽⺈巳 · zxvs〕
𦐚	〔羽白 · zub〕
𦐛	〔句羽 · gzv〕
𦐜	〔羽干丷 · zehb〕
𦐝	〔丿夫羽 · thzv〕
𦐞	〔廿㇗羽 · lazv〕
𦐟	〔羽一刀 · zfpp〕
𦐠	〔羽氏丶 · zbid〕
𦐡	〔弗羽 · tzv〕
𦐢	〔皮羽 · rzv〕
𦐣	〔羽丿未 · ztaw〕
𦐤	〔亥羽 · kzv〕
𦐥	〔羽勹日 · znor〕
𦐦	〔羽各 · zsg〕
𦐧	〔羽干 · zeeg〕
𦐨	〔丿未羽 · tazv〕
𦐩	〔羽舟 · zio〕
𦐪	〔羽曰㇂丿 · zoat〕
𦐫	〔十廿羽 · nlzv〕
𦐬	〔羽亼口 · zjdk〕
𦐭	〔羽飞飞 · zccf〕
𦐮	〔彐彐亠日 · bbzo〕
𦐯	〔彐彐冂二 · bbmm〕
𦐰	〔土土羽 · ggzv〕
𦐱	〔彐彐羽 · bbzv〕
𦐲	〔羽冖日 · zwor〕
𦐳	〔匕冖羽 · vvwz〕
𦐴	〔戊一羽 · nfzv〕
𦐵	〔䒑廾羽 · hlzv〕
𦐶	〔𡭔丿亻羽 · ytjz〕
𦐷	〔羽丿冊 · ztic〕
𦐸	〔不口羽 · cdzv〕
𦐹	〔羽辛 · znx〕
𦐺	〔⺌⺼羽 · yvzv〕
𦐻	〔亻丨攵羽 · jghz〕
𦐼	〔士心羽 · ghzv〕
𦐽	〔口⺝羽 · dvzv〕
𦐾	〔束羽 · xzv〕
𦐿	〔羽㇒士廴 · ztgu〕
𦑀	〔羽白儿 · zupe〕
𦑁	〔羽厶八夊 · zkhh〕
𦑂	〔厶八夊羽 · khhz〕
𦑃	〔一日羽 · fobz〕
𦑄	〔羽匸矢 · znos〕
𦑅	〔兩羽 · mzv〕
𦑆	〔戊㇆羽 · nazv〕
𦑇	〔水日羽 · kozv〕
𦑈	〔羽一龰 · zfbs〕
𦑉	〔日月羽 · ovzv〕
𦑊	〔羽龶⺝ · zavy〕
𦑋	〔亠人人羽 · zjjz〕
𦑌	〔羽戈口㇀ · zpdf〕
𦑍	〔戈口㇀羽 · pdfz〕
𦑎	〔羽大日乚 · zmoa〕
𦑏	〔羽隹 · zui〕
𦑐	〔羽十田厶 · znqk〕
𦑑	〔忄𠂇工羽 · hnuz〕
𦑒	〔䒑羊羽 · hgzv〕
𦑓	〔龶龶羽 · aazv〕
𦑔	〔人口女羽 · jdbz〕
𦑕	〔羽金 · zzj〕
𦑖	〔羽龶⺝ · zavy〕
𦑗	〔户羽人 · mznj〕
𦑘	〔戊一口羽 · nfdz〕
𦑙	〔彑羽 · bjzv〕
𦑚	〔羽⺈厂矢 · zxxo〕
𦑛	〔羽爫一又 · zyfr〕
𦑜	〔革羽 · tzv〕
𦑝	〔千里羽 · ldzv〕
𦑞	〔羽一口田 · zfdq〕
𦑟	〔羽勹言 · znsy〕
𦑠	〔羽白王 · zunw〕
𦑡	〔日羽 · otzv〕
𦑢	〔龶母羽 · akzv〕
𦑣	〔羽千臼 · zlpj〕
𦑤	〔亻矢羽 · jnoz〕
𦑥	〔羽耂日 · zqor〕
𦑦	〔䒑月刂羽 · hvpz〕
𦑧	〔羽日 · zots〕
𦑨	〔㐅凵儿羽 · bmpz〕
𦑩	〔羽冖車 · zwyc〕
𦑪	〔千臼羽 · lpzv〕
𦑫	〔尸米羽 · cpzv〕
𦑬	〔口丨羽彡 · dgze〕
𦑭	〔一口田羽 · fdqz〕
𦑮	〔羽户 · zmic〕
𦑯	〔羽一龰 · zfbs〕
𦑰	〔羽口貝 · zdob〕
𦑱	〔冖隹羽 · wuzv〕
𦑲	〔罒羽 · ykzv〕
𦑳	〔止舟羽 · sizv〕
𦑴	〔厶⺝羽 · kvvz〕
𦑵	〔甫寸羽 · nkzv〕
𦑶	〔羽罒 · zyks〕
𦑷	〔羽甫一 · znfp〕
𦑸	〔彳氵攵羽 · wkhz〕
𦑹	〔臼日羽 · pozv〕
𦑺	〔⺶工羽 · guzv〕
𦑻	〔韋羽 · gzv〕
𦑼	〔羽⺜羽 · zozv〕
𦑽	〔𠂇口冂羽 · ndmz〕
𦑾	〔羽一日日 · zfoo〕
𦑿	〔羽冖木日 · zweo〕
𦒀	〔山豆羽 · vzzv〕
𦒁	〔羽⺶工 · zgug〕
𦒂	〔䒑⺜羽 · hsoz〕
𦒃	〔卝罒冖羽 · lywz〕
𦒄	〔羽丰丰 · zaab〕
𦒅	〔羽艹口夫 · zldh〕
𦒆	〔羽白羽 · zuzv〕
𦒇	〔己コ匚羽 · vnnz〕
𦒈	〔亼口羽 · jdiz〕
𦒉	〔光羽白 · mzub〕
𦒊	〔羽甫方 · znlf〕
𦒋	〔十日十羽 · nonz〕
𦒌	〔白𠂉羽 · uevz〕
𦒎	〔羽十田心 · znqh〕
𦒏	〔羽土土儿 · zggp〕
𦒐	〔羽㡀攵 · zfhp〕
𦒑	〔予丿冂羽 · itmz〕
𦒒	〔羽土土儿 · zggp〕
𦒓	〔羽丿大口 · ztmd〕
𦒔	〔羽予丿口 · zitd〕
𦒕	〔止舟刂羽 · sipz〕
𦒖	〔羽田⺿ · zqlh〕
𦒗	〔羽丷囗曰 · zhro〕
𦒘	〔覀大巳羽 · vmvz〕
𦒙	〔羽 · zhhz〕
𦒚	〔羽尚攵 · zshp〕
𦒛	〔羽弓工口 · zbud〕
𦒜	〔亠囗口羽 · zrdz〕
𦒝	〔戊一口羽 · nfdz〕
𦒞	〔羽弓コ口 · zbnd〕
𦒟	〔䒑臼羽 · hspz〕
𦒠	〔羽罒一 · zyft〕
𦒡	〔罒土羽 · yggz〕
𦒢	〔丿罒土羽 · tygz〕
𦒣	〔丿㠯大白 · tkmu〕
𦒤	〔羽一 · zffb〕
𦒥	〔八厶羽犬 · hkzm〕
𦒦	〔羽巛 · zops〕
𦒧	〔⻗隹羽 · tuzv〕
𦒨	〔羽宀卝丶 · zwli〕
𦒩	〔巛羽 · opzv〕
𦒪	〔火火夕羽 · cclz〕
𦒫	〔弓コ匚羽 · bnnz〕
𦒬	〔罒土口羽 · ygdz〕
𦒭	〔高大土羽 · gmgz〕
𦒮	〔龍羽 · tzv〕
𦒯	〔弓工工羽 · buuz〕
𦒰	〔丶氺隹 · aiku〕
𦒱	〔耂丁 · qad〕
𦒲	〔老几 · qoj〕
𦒳	〔耂工 · qug〕
𦒴	〔老山 · qvs〕
𦒵	〔老口 · qdk〕
𦒶	〔耂勹 · qnes〕
𦒷	〔耂毛 · qvm〕
𦒸	〔老勹 · qnes〕
𦒺	〔老口又 · qdry〕
𦒻	〔耂⺊口 · qydk〕
𦒼	〔老丶王 · qinw〕
𦒽	〔老㇆一口 · qafd〕
𦒾	〔老⺊口 · qydk〕
𦒿	〔老目 · qqm〕
𦓀	〔老匕日 · qvor〕
𦓁	〔老彐丿口 · qbtd〕
𦓂	〔老日句 · qogj〕
𦓃	〔耂弓工口 · qbud〕
𦓄	〔高老 · gql〕
𦓅	〔老艹人木 · qlje〕
𦓆	〔耂弓工口 · qbud〕
𦓇	〔老匸口口 · qndd〕
𦓈	〔老老老 · qqql〕
𦓉	〔老⻊各 · qpsg〕
𦓊	〔老亼囗曰 · qjro〕
𦓋	〔老老老老 · qqqq〕
𦓌	〔禾女鬼老 · xbaq〕
𦓍	〔耂日口二 · qodm〕
𦓎	〔而刂 · lpd〕
𦓏	〔九而 · kle〕
𦓐	〔丿⺵ · tys〕
𦓑	〔而九 · lkj〕
𦓒	〔火而 · cle〕
𦓓	〔瓦而 · rle〕
𦓔	〔而而 · lle〕
𦓕	〔而曰㇂丿 · loat〕
𦓖	〔而刀丶心 · lpih〕
𦓗	〔山而𠂇丶 · vlni〕
𦓘	〔而而彡 · lles〕
𦓙	〔⺁巴山而 · xmvl〕
𦓚	〔⺁一巳而 · xfvl〕
𦓛	〔⺈厂⺋而 · xxzl〕
𦓜	〔老而大 · qlmd〕
𦓝	〔⺁一巴而 · xfml〕
𦓞	〔山而甫 · vlnf〕
𦓟	〔火山而 · vcvl〕
𦓠	〔一口冂而 · fdml〕
𦓡	〔麻而 · zle〕
𦓢	〔而而而犬 · lllm〕
𦓣	〔山而广黄 · vlxn〕
𦓤	〔𦓤 · al〕
𦓥	〔⽾卩 · azj〕
𦓦	〔⽾卜 · ayb〕
𦓧	〔耒八 · ahb〕
𦓨	〔⽾巳 · avs〕
𦓩	〔一厶⽾ · fkal〕
𦓪	〔⽾⺊乙 · ayai〕
𦓫	〔攵耒 · hal〕
𦓬	〔⽾干丷 · aehb〕
𦓭	〔⽾勹丶 · anei〕
𦓮	〔⽾井丶 · aqid〕
𦓯	〔⽾土土 · aggt〕
𦓰	〔⽾人王 · ajnw〕
𦓱	〔⽾各 · asg〕
𦓲	〔耒女口 · abdk〕
𦓳	〔耒龷八 · alhb〕
𦓴	〔⽾⺌⺼ · ayvy〕
𦓵	〔⽾里 · adl〕
𦓶	〔耒辰 · afc〕
𦓷	〔⽾⺿云 · alby〕
𦓸	〔⽾白丿十 · autn〕
𦓹	〔⽾木人人 · aejj〕
𦓺	〔⽾爫 · aybv〕
𦓻	〔⽾日勹 · aone〕
𦓼	〔⽾日匕 · aovv〕
𦓽	〔⽾禾女 · axbn〕
𦓾	〔⽾囗禾 · arxh〕
𦓿	〔耒 · azhb〕
𦔀	〔⽾艮又 · airy〕
𦔁	〔⽾戶勹厶 · amnk〕
𦔂	〔⽾日 · aots〕
𦔃	〔⽾⺿大 · almm〕
𦔄	〔⽾𡭔丿目 · aytq〕
𦔅	〔⽾犬 · aemq〕
𦔆	〔⽾一口田 · afdq〕
𦔇	〔耒予丿木 · aite〕
𦔈	〔耒日矢 · aoos〕
𦔉	〔⽾千里 · aldl〕
𦔊	〔⽾丿口⽱ · atdv〕
𦔋	〔⽾⺿耳 · alqe〕
𦔌	〔⽾老日 · aqor〕
𦔍	〔⽾甫寸 · ankc〕
𦔎	〔⽾田儿夊 · aqph〕
𦔏	〔⽾土厶皿 · agka〕
𦔐	〔⽾口貝 · adob〕
𦔑	〔⽾口 · abod〕
𦔒	〔⽾䒑幺幺 · ahii〕
𦔓	〔⽾亠㐅禸 · azbv〕
𦔔	〔⽾曰罒又 · aoyr〕
𦔕	〔⽾丿囗夊 · atrh〕
𦔖	〔耒車辶 · ayuc〕
𦔗	〔⽾厶厶 · axkk〕
𦔘	〔⽾工寸 · abuk〕
𦔙	〔耒旡 · aidu〕
𦔚	〔⽾廿㒳 · alml〕
𦔛	〔⽾立里 · aidl〕
𦔜	〔⽾田龷八 · aqlh〕
𦔝	〔⽾冖口 · aiwd〕
𦔞	〔耒⺝攵 · abvh〕
𦔟	〔⽾人亠禸 · ajzv〕
𦔠	〔⽾艹白十 · alun〕
𦔡	〔⽾人人日 · ajjo〕
𦔢	〔⽾又又日 · arro〕
𦔣	〔⽾戊㇆母 · anak〕
𦔤	〔⽾戊㇆皿 · anaa〕
𦔥	〔⽾罒土 · aygg〕
𦔦	〔⽾亼囗曰 · ajro〕
𦔧	〔耒田⽱心 · aqvh〕
𦔨	〔⽾曰罒方 · aoyl〕
𦔩	〔⽾鹿灬 · axch〕
𦔪	〔⽾口女 · akdb〕
𦔫	〔⽾羽田八 · azqh〕
𦔬	〔⽾目目隹 · aqqu〕
𦔭	〔⽾⿇ · azrf〕
𦔮	〔耳㇗ · qae〕
𦔯	〔耳 · hqe〕
𦔰	〔耳 · pqe〕
𦔱	〔九耳 · kqe〕
𦔲	〔耳一ㄅ · qfae〕
𦔳	〔耳力 · qsl〕
𦔴	〔人耳 · jqe〕
𦔵	〔入耳 · jqe〕
𦔶	〔耳⺋ · qzj〕
𦔷	〔耳幺 · qiy〕
𦔸	〔耳工 · qug〕
𦔹	〔耳又丶 · qrid〕
𦔺	〔耳山 · qvs〕
𦔻	〔耳口 · qdk〕
𦔼	〔耳攴 · qhp〕
𦔽	〔耳丿土 · qtgt〕
𦔾	〔耳夫 · qhf〕
𦔿	〔耳一大 · qfmd〕
𦕀	〔耳七刀 · qrpd〕
𦕁	〔巴耳 · mqe〕
𦕂	〔木耳 · eqe〕
𦕃	〔耳⺆亠 · qmzt〕
𦕄	〔耳斤 · qtj〕
𦕅	〔耳卩 · qbzj〕
𦕆	〔耳牙 · qly〕
𦕇	〔耳一幺 · qfiy〕
𦕈	〔耳𡭔丿 · qytp〕
𦕉	〔𡭔丿耳 · ytqe〕
𦕊	〔耳口乚 · qdae〕
𦕋	〔耳冂又 · qmry〕
𦕌	〔氏耳 · bqe〕
𦕍	〔耳冖几 · qwoj〕
𦕎	〔耳一ㄅ · qhfa〕
𦕏	〔耳口丨 · qdgs〕
𦕐	〔耳甘 · qzg〕
𦕑	〔耳氏一 · qbfi〕
𦕒	〔耳⺊口 · qydk〕
𦕓	〔工几耳 · uoqe〕
𦕔	〔耳⺈尸 · qxcs〕
𦕕	〔夕⺋耳 · lzqe〕
𦕖	〔耳丿止 · qtsi〕
𦕗	〔耳𠂉小 · qeyx〕
𦕘	〔耳用 · qty〕
𦕙	〔耳句 · qgj〕
𦕚	〔耳弗 · qtf〕
𦕛	〔耳民 · qdm〕
𦕜	〔耳未 · qaw〕
𦕝	〔耳示 · qfs〕
𦕞	〔耳八二ㄅ · qhma〕
𦕟	〔耳丶 · qiks〕
𦕠	〔耳龷八 · qlhb〕
𦕡	〔⺊耳井 · yqqj〕
𦕢	〔⺊耳丿土 · yqtg〕
𦕣	〔耳丿止廴 · qtsu〕
𦕤	〔耳光 · qmg〕
𦕥	〔丰力耳 · asqe〕
𦕦	〔耳人人人 · qjjj〕
𦕧	〔耳戈𠂇 · qpns〕
𦕨	〔耳艮 · qig〕
𦕩	〔耳西 · qvx〕
𦕪	〔不耳又 · cqry〕
𦕫	〔耳人止 · qjsi〕
𦕬	〔耳夕阝 · qlte〕
𦕭	〔耳巛工 · qoug〕
𦕮	〔耳丿囗ㄅ · qtra〕
𦕯	〔耳巛大 · qomd〕
𦕰	〔耳几木 · qoem〕
𦕱	〔耳糸 · qis〕
𦕲	〔耳亼口 · qjdk〕
𦕳	〔耳老 · qql〕
𦕴	〔龶力耳 · asqe〕
𦕵	〔耳宀牛 · qwqn〕
𦕶	〔耳扌斤 · qutj〕
𦕷	〔耳工水 · quks〕
𦕸	〔耳里 · qdl〕
𦕹	〔耳宀𠂇厶 · qwnk〕
𦕺	〔耳 · gqe〕
𦕻	〔耳丿囗丶 · qtri〕
𦕼	〔耳丣 · qbm〕
𦕽	〔耳亻日丨 · qjog〕
𦕾	〔耳氏口 · qbdk〕
𦕿	〔耳耳㇗ · qqae〕
𦖀	〔耳爫子 · qyhi〕
𦖁	〔耳㐅𠂇巾 · qbnr〕
𦖂	〔耳一 · qfch〕
𦖃	〔耳見 · qej〕
𦖄	〔耳⺈山ㄅ · qxva〕
𦖅	〔耳乚土土 · qagg〕
𦖆	〔耳刀丶心 · qpih〕
𦖇	〔耳口力刂 · qdsp〕
𦖈	〔耳大日乚 · qmoa〕
𦖉	〔耳冂䒑亡 · qmhf〕
